"County Economic Status, Fiscal Year 2019",,,,,,,
 37197,"Yadkin County, North Carolina",5.00%,"$24,552 ",19.00%,92.40%,60.40%,125.60%
 37199,"Yancey County, North Carolina",5.90%,"$20,933 ",21.30%,109.50%,51.50%,141.10%
 39001,"Adams County, Ohio",8.20%,"$19,304 ",24.50%,150.20%,47.50%,162.00%
 39007,"Ashtabula County, Ohio",6.40%,"$24,388 ",19.60%,117.40%,60.00%,129.70%
 39009,"Athens County, Ohio",6.40%,"$24,097 ",31.20%,118.00%,59.20%,206.80%
 39013,"Belmont County, Ohio",6.80%,"$27,211 ",15.10%,125.50%,66.90%,99.80%
 39015,"Brown County, Ohio",6.50%,"$23,805 ",16.70%,118.80%,58.50%,110.20%
 39019,"Carroll County, Ohio",6.30%,"$26,799 ",14.00%,115.70%,65.90%,92.50%
 39025,"Clermont County, Ohio",4.80%,"$41,210 ",10.50%,87.90%,101.30%,69.70%
 39029,"Columbiana County, Ohio",6.30%,"$25,229 ",15.80%,116.00%,62.00%,104.30%
 39031,"Coshocton County, Ohio",7.00%,"$22,927 ",14.00%,127.90%,56.40%,92.50%
 39053,"Gallia County, Ohio",7.00%,"$23,372 ",21.40%,127.90%,57.50%,141.90%
 39059,"Guernsey County, Ohio",6.60%,"$25,977 ",19.80%,122.10%,63.90%,131.40%
 39067,"Harrison County, Ohio",6.60%,"$24,679 ",18.10%,121.50%,60.70%,119.70%
 39071,"Highland County, Ohio",6.80%,"$22,526 ",20.70%,125.10%,55.40%,137.30%
 39073,"Hocking County, Ohio",5.80%,"$24,316 ",16.60%,107.10%,59.80%,110.00%
 39075,"Holmes County, Ohio",3.60%,"$34,153 ",12.90%,67.00%,84.00%,85.10%
 39079,"Jackson County, Ohio",8.00%,"$22,922 ",23.00%,147.80%,56.30%,152.30%
 39081,"Jefferson County, Ohio",7.90%,"$23,746 ",17.20%,146.10%,58.40%,113.90%
 39087,"Lawrence County, Ohio",6.30%,"$23,238 ",18.40%,116.40%,57.10%,122.00%
 39099,"Mahoning County, Ohio",6.40%,"$29,365 ",18.10%,117.20%,72.20%,119.70%
 39105,"Meigs County, Ohio",8.50%,"$19,778 ",22.80%,156.70%,48.60%,150.70%
 39111,"Monroe County, Ohio",10.70%,"$19,257 ",18.80%,196.70%,47.30%,124.50%
 39115,"Morgan County, Ohio",7.70%,"$20,206 ",20.30%,142.40%,49.70%,134.20%
 39119,"Muskingum County, Ohio",6.40%,"$27,644 ",17.40%,118.30%,68.00%,115.30%
 39121,"Noble County, Ohio",7.80%,"$22,366 ",11.90%,143.60%,55.00%,78.90%
 39127,"Perry County, Ohio",6.70%,"$24,545 ",20.60%,123.50%,60.30%,136.50%
 39131,"Pike County, Ohio",7.90%,"$21,151 ",20.70%,145.90%,52.00%,136.90%
 39141,"Ross County, Ohio",5.70%,"$24,680 ",18.80%,105.50%,60.70%,124.80%
 39145,"Scioto County, Ohio",8.00%,"$20,904 ",24.00%,147.30%,51.40%,158.60%
 39155,"Trumbull County, Ohio",6.80%,"$26,952 ",17.50%,125.00%,66.30%,115.70%
 39157,"Tuscarawas County, Ohio",5.50%,"$31,277 ",13.60%,101.70%,76.90%,89.80%
 39163,"Vinton County, Ohio",7.20%,"$20,473 ",21.30%,132.10%,50.30%,140.70%
 39167,"Washington County, Ohio",6.40%,"$29,162 ",15.70%,118.20%,71.70%,103.70%
 42003,"Allegheny County, Pennsylvania",5.20%,"$44,794 ",12.70%,95.30%,110.10%,84.30%
 42005,"Armstrong County, Pennsylvania",6.90%,"$29,148 ",13.20%,126.50%,71.70%,87.10%
 42007,"Beaver County, Pennsylvania",6.30%,"$32,152 ",10.80%,115.00%,79.00%,71.70%
 42009,"Bedford County, Pennsylvania",6.20%,"$27,229 ",14.20%,113.80%,66.90%,94.10%
 42013,"Blair County, Pennsylvania",5.40%,"$30,287 ",14.80%,99.30%,74.50%,97.90%
 42015,"Bradford County, Pennsylvania",6.00%,"$29,197 ",12.40%,109.80%,71.80%,82.20%
 42019,"Butler County, Pennsylvania",5.00%,"$43,703 ",8.50%,91.30%,107.40%,55.90%
 42021,"Cambria County, Pennsylvania",6.80%,"$26,591 ",15.60%,125.10%,65.40%,103.20%
 42023,"Cameron County, Pennsylvania",7.20%,"$30,138 ",12.70%,132.60%,74.10%,84.10%
 42025,"Carbon County, Pennsylvania",6.40%,"$35,153 ",12.10%,117.20%,86.40%,79.80%
 42027,"Centre County, Pennsylvania",4.20%,"$34,480 ",19.10%,76.40%,84.80%,126.70%
 42031,"Clarion County, Pennsylvania",6.20%,"$26,679 ",18.60%,114.00%,65.60%,122.80%
 42033,"Clearfield County, Pennsylvania",7.10%,"$29,567 ",14.80%,130.00%,72.70%,98.30%
 42035,"Clinton County, Pennsylvania",7.10%,"$26,461 ",17.30%,130.50%,65.00%,114.20%
 42037,"Columbia County, Pennsylvania",5.80%,"$29,209 ",15.30%,107.10%,71.80%,101.20%
 42039,"Crawford County, Pennsylvania",5.70%,"$26,338 ",14.50%,104.00%,64.70%,96.00%
 42047,"Elk County, Pennsylvania",5.20%,"$33,642 ",8.80%,95.90%,82.70%,58.00%
 42049,"Erie County, Pennsylvania",6.10%,"$30,177 ",16.70%,111.70%,74.20%,110.30%
 42051,"Fayette County, Pennsylvania",7.80%,"$26,487 ",18.60%,144.20%,65.10%,123.30%
 42053,"Forest County, Pennsylvania",8.00%,"$15,440 ",12.70%,146.90%,38.00%,84.30%
 42057,"Fulton County, Pennsylvania",6.50%,"$26,825 ",11.20%,120.40%,65.90%,73.90%
 42059,"Greene County, Pennsylvania",6.40%,"$31,707 ",15.30%,118.10%,77.90%,101.20%
 42061,"Huntingdon County, Pennsylvania",7.30%,"$27,138 ",13.70%,134.60%,66.70%,90.70%
 42063,"Indiana County, Pennsylvania",6.60%,"$25,579 ",17.80%,120.70%,62.90%,117.90%
 42065,"Jefferson County, Pennsylvania",6.50%,"$27,163 ",14.60%,119.10%,66.80%,96.40%
 42067,"Juniata County, Pennsylvania",5.30%,"$29,905 ",12.00%,98.20%,73.50%,79.10%
 42069,"Lackawanna County, Pennsylvania",6.00%,"$32,730 ",15.30%,111.10%,80.50%,101.10%
 42073,"Lawrence County, Pennsylvania",6.40%,"$28,092 ",14.30%,118.40%,69.10%,95.00%
 42079,"Luzerne County, Pennsylvania",6.70%,"$31,038 ",15.70%,123.60%,76.30%,103.90%
 42081,"Lycoming County, Pennsylvania",6.30%,"$30,188 ",14.40%,115.70%,74.20%,95.40%
 42083,"McKean County, Pennsylvania",6.40%,"$28,563 ",17.10%,117.20%,70.20%,112.90%
 42085,"Mercer County, Pennsylvania",5.80%,"$27,382 ",14.00%,106.20%,67.30%,92.50%
 42087,"Mifflin County, Pennsylvania",6.00%,"$25,066 ",14.60%,109.90%,61.60%,96.70%
 42089,"Monroe County, Pennsylvania",6.80%,"$30,305 ",12.20%,124.40%,74.50%,80.70%
 42093,"Montour County, Pennsylvania",4.40%,"$41,641 ",10.00%,81.40%,102.40%,66.20%
 42097,"Northumberland County, Pennsylvania",6.40%,"$27,964 ",14.60%,117.40%,68.70%,96.40%
 42099,"Perry County, Pennsylvania",4.80%,"$31,749 ",8.70%,87.40%,78.00%,57.70%
 42103,"Pike County, Pennsylvania",6.80%,"$32,091 ",10.20%,125.90%,78.90%,67.70%
 42105,"Potter County, Pennsylvania",7.40%,"$25,051 ",14.10%,136.80%,61.60%,93.40%
 42107,"Schuylkill County, Pennsylvania",6.50%,"$29,500 ",13.00%,120.20%,72.50%,86.30%
 42109,"Snyder County, Pennsylvania",4.80%,"$27,802 ",11.10%,89.20%,68.30%,73.70%
 42111,"Somerset County, Pennsylvania",7.10%,"$26,659 ",12.60%,131.20%,65.50%,83.50%
 42113,"Sullivan County, Pennsylvania",6.50%,"$27,857 ",12.00%,119.20%,68.50%,79.30%
 42115,"Susquehanna County, Pennsylvania",5.70%,"$31,042 ",12.90%,105.70%,76.30%,85.10%
 42117,"Tioga County, Pennsylvania",6.90%,"$26,290 ",13.40%,126.70%,64.60%,88.80%
 42119,"Union County, Pennsylvania",4.70%,"$29,147 ",11.20%,87.20%,71.70%,74.00%
 42121,"Venango County, Pennsylvania",6.40%,"$25,159 ",14.40%,117.30%,61.80%,95.40%
 42123,"Warren County, Pennsylvania",5.30%,"$28,742 ",12.70%,96.80%,70.70%,84.20%
 42125,"Washington County, Pennsylvania",5.80%,"$42,271 ",10.10%,107.30%,103.90%,66.70%
 42127,"Wayne County, Pennsylvania",6.00%,"$28,173 ",12.70%,110.70%,69.30%,84.00%
 42129,"Westmoreland County, Pennsylvania",5.70%,"$36,172 ",10.30%,104.40%,88.90%,68.50%
 42131,"Wyoming County, Pennsylvania",6.30%,"$32,031 ",10.30%,116.40%,78.70%,68.40%
 45007,"Anderson County, South Carolina",5.30%,"$26,757 ",16.30%,96.80%,65.80%,107.70%
 45021,"Cherokee County, South Carolina",7.00%,"$20,615 ",22.70%,129.60%,50.70%,150.20%
 45045,"Greenville County, South Carolina",4.80%,"$36,446 ",14.30%,88.10%,89.60%,94.50%
 45073,"Oconee County, South Carolina",5.70%,"$28,442 ",18.50%,104.70%,69.90%,122.30%
 45077,"Pickens County, South Carolina",5.60%,"$26,279 ",18.70%,103.70%,64.60%,123.90%
 45083,"Spartanburg County, South Carolina",5.50%,"$30,580 ",17.00%,101.90%,75.20%,112.80%
 47001,"Anderson County, Tennessee",5.80%,"$29,326 ",17.20%,107.30%,72.10%,113.90%
 47007,"Bledsoe County, Tennessee",8.00%,"$11,950 ",23.70%,146.50%,29.40%,157.00%
 47009,"Blount County, Tennessee",5.20%,"$30,277 ",13.60%,95.20%,74.40%,89.80%
 47011,"Bradley County, Tennessee",5.20%,"$28,972 ",18.40%,96.30%,71.20%,122.00%
 47013,"Campbell County, Tennessee",8.00%,"$19,816 ",22.40%,148.00%,48.70%,148.10%
 47015,"Cannon County, Tennessee",5.60%,"$23,815 ",16.20%,102.80%,58.50%,107.10%
 47019,"Carter County, Tennessee",6.60%,"$21,063 ",23.90%,121.40%,51.80%,158.10%
 47025,"Claiborne County, Tennessee",7.40%,"$20,490 ",22.30%,135.40%,50.40%,147.40%
 47027,"Clay County, Tennessee",8.20%,"$20,269 ",24.80%,150.20%,49.80%,164.40%
 47029,"Cocke County, Tennessee",7.70%,"$18,618 ",26.10%,142.10%,45.80%,172.70%
 47031,"Coffee County, Tennessee",5.50%,"$27,287 ",15.90%,102.10%,67.10%,105.00%
 47035,"Cumberland County, Tennessee",7.00%,"$22,142 ",16.00%,128.30%,54.40%,105.60%
 47041,"DeKalb County, Tennessee",6.90%,"$24,913 ",22.20%,126.20%,61.20%,146.70%
 47049,"Fentress County, Tennessee",7.30%,"$17,336 ",23.30%,134.80%,42.60%,154.50%
 47051,"Franklin County, Tennessee",5.40%,"$26,359 ",16.20%,99.50%,64.80%,107.40%
 47057,"Grainger County, Tennessee",6.70%,"$20,687 ",20.20%,124.10%,50.90%,134.00%
 47059,"Greene County, Tennessee",6.60%,"$23,154 ",18.60%,122.30%,56.90%,123.30%
 47061,"Grundy County, Tennessee",7.90%,"$17,481 ",28.00%,145.50%,43.00%,185.40%
 47063,"Hamblen County, Tennessee",6.20%,"$26,050 ",21.20%,114.50%,64.00%,140.20%
 47065,"Hamilton County, Tennessee",5.40%,"$39,320 ",14.80%,98.80%,96.70%,98.20%
 47067,"Hancock County, Tennessee",9.10%,"$13,353 ",27.30%,167.80%,32.80%,180.40%
 47073,"Hawkins County, Tennessee",6.40%,"$21,306 ",19.20%,117.60%,52.40%,127.20%
 47087,"Jackson County, Tennessee",7.90%,"$16,746 ",25.00%,145.40%,41.20%,165.50%
 47089,"Jefferson County, Tennessee",6.40%,"$23,004 ",15.20%,116.90%,56.50%,100.70%
 47091,"Johnson County, Tennessee",5.70%,"$21,011 ",26.90%,105.70%,51.70%,178.30%
 47093,"Knox County, Tennessee",4.70%,"$38,510 ",16.20%,86.50%,94.70%,107.10%
 47099,"Lawrence County, Tennessee",6.80%,"$21,797 ",19.50%,125.40%,53.60%,128.90%
 47101,"Lewis County, Tennessee",7.40%,"$20,254 ",20.40%,136.20%,49.80%,135.00%
 47105,"Loudon County, Tennessee",5.60%,"$33,109 ",13.50%,103.80%,81.40%,89.30%
 47111,"Macon County, Tennessee",5.40%,"$20,925 ",18.60%,99.20%,51.40%,122.80%
 47115,"Marion County, Tennessee",7.00%,"$25,174 ",19.20%,128.20%,61.90%,127.30%
 47107,"McMinn County, Tennessee",6.40%,"$23,799 ",19.50%,117.90%,58.50%,129.00%
 47121,"Meigs County, Tennessee",7.70%,"$20,018 ",18.80%,141.50%,49.20%,124.70%
 47123,"Monroe County, Tennessee",6.40%,"$21,340 ",19.20%,117.60%,52.50%,127.30%
 47129,"Morgan County, Tennessee",7.60%,"$18,393 ",23.60%,139.30%,45.20%,156.20%
 47133,"Overton County, Tennessee",6.80%,"$20,219 ",20.00%,125.10%,49.70%,132.00%
 47137,"Pickett County, Tennessee",7.70%,"$25,184 ",16.50%,141.80%,61.90%,109.40%
 47139,"Polk County, Tennessee",6.70%,"$22,184 ",17.80%,123.40%,54.50%,117.60%
 47141,"Putnam County, Tennessee",5.90%,"$28,130 ",24.00%,107.70%,69.20%,158.90%
 47143,"Rhea County, Tennessee",7.70%,"$23,070 ",22.90%,141.40%,56.70%,151.30%
 47145,"Roane County, Tennessee",6.60%,"$26,554 ",16.20%,120.60%,65.30%,107.10%
 47151,"Scott County, Tennessee",9.50%,"$16,232 ",27.70%,174.50%,39.90%,183.30%
 47153,"Sequatchie County, Tennessee",6.60%,"$23,591 ",16.10%,121.00%,58.00%,106.50%
 47155,"Sevier County, Tennessee",6.00%,"$27,393 ",15.30%,110.60%,67.30%,101.30%
 47159,"Smith County, Tennessee",5.50%,"$25,782 ",16.20%,101.20%,63.40%,107.00%
 47163,"Sullivan County, Tennessee",5.90%,"$28,673 ",16.80%,108.20%,70.50%,111.50%
 47171,"Unicoi County, Tennessee",8.10%,"$22,142 ",21.00%,148.20%,54.40%,139.20%
 47173,"Union County, Tennessee",6.80%,"$19,697 ",23.50%,125.40%,48.40%,155.80%
 47175,"Van Buren County, Tennessee",7.90%,"$15,779 ",19.10%,146.20%,38.80%,126.70%
 47177,"Warren County, Tennessee",5.70%,"$22,783 ",20.70%,105.10%,56.00%,136.90%
 47179,"Washington County, Tennessee",5.60%,"$30,657 ",17.10%,102.30%,75.40%,113.30%
 47185,"White County, Tennessee",6.10%,"$21,217 ",18.10%,113.10%,52.20%,119.90%
 51005,"Alleghany (+ Covington city) County, Virginia",5.70%,"$25,728 ",19.10%,104.60%,63.20%,126.50%
 51017,"Bath County, Virginia",4.10%,"$40,699 ",8.40%,75.00%,100.00%,55.40%
 51021,"Bland County, Virginia",5.70%,"$23,285 ",9.70%,104.30%,57.20%,64.10%
 51023,"Botetourt County, Virginia",4.20%,"$37,679 ",8.30%,78.00%,92.60%,55.00%
 51027,"Buchanan County, Virginia",10.70%,"$18,078 ",23.90%,196.90%,44.40%,158.50%
 51035,"Carroll (+ Galax city) County, Virginia",5.80%,"$22,023 ",17.40%,106.50%,54.10%,115.10%
 51045,"Craig County, Virginia",5.50%,"$25,388 ",12.90%,101.60%,62.40%,85.30%
 51051,"Dickenson County, Virginia",10.10%,"$15,027 ",21.50%,185.70%,36.90%,142.60%
 51063,"Floyd County, Virginia",4.20%,"$25,500 ",11.80%,77.30%,62.70%,78.20%
 51071,"Giles County, Virginia",5.60%,"$26,591 ",11.80%,102.30%,65.40%,78.30%
 51077,"Grayson County, Virginia",6.30%,"$20,683 ",19.80%,116.20%,50.80%,131.30%
 51089,"Henry (+ Martinsville city) County, Virginia",7.00%,"$23,704 ",20.00%,128.30%,58.30%,132.40%
 51091,"Highland County, Virginia",3.50%,"$34,060 ",12.60%,64.80%,83.70%,83.10%
 51105,"Lee County, Virginia",7.40%,"$16,574 ",26.10%,136.50%,40.70%,172.50%
 51121,"Montgomery (+ Radford city) County, Virginia",4.70%,"$28,020 ",26.20%,86.50%,68.90%,173.20%
 51141,"Patrick County, Virginia",5.60%,"$21,040 ",22.20%,103.80%,51.70%,146.90%
 51155,"Pulaski County, Virginia",5.70%,"$26,602 ",13.50%,104.30%,65.40%,89.30%
 51163,"Rockbridge (+ Buena Vista city + Lexington city) County, Virginia",5.20%,"$28,908 ",17.60%,96.30%,71.10%,116.60%
 51167,"Russell County, Virginia",7.00%,"$20,863 ",17.00%,128.50%,51.30%,112.70%
 51169,"Scott County, Virginia",5.30%,"$19,723 ",20.10%,97.30%,48.50%,133.30%
 51173,"Smyth County, Virginia",6.70%,"$23,496 ",17.70%,124.00%,57.80%,117.40%
 51185,"Tazewell County, Virginia",7.70%,"$22,242 ",17.80%,141.90%,54.70%,118.00%
 51191,"Washington (+ Bristol city) County, Virginia",5.20%,"$29,023 ",15.90%,94.90%,71.30%,104.90%
 51195,"Wise (+ Norton city) County, Virginia",8.60%,"$17,446 ",21.70%,158.50%,42.90%,143.40%
 51197,"Wythe County, Virginia",5.90%,"$25,014 ",16.20%,107.80%,61.50%,107.30%
 54001,"Barbour County, West Virginia",6.90%,"$19,473 ",22.40%,127.70%,47.90%,148.40%
 54003,"Berkeley County, West Virginia",4.70%,"$30,406 ",13.20%,87.10%,74.70%,87.60%
 54005,"Boone County, West Virginia",9.30%,"$19,098 ",26.00%,171.40%,46.90%,172.20%
 54007,"Braxton County, West Virginia",9.00%,"$18,201 ",20.20%,165.70%,44.70%,134.00%
 54009,"Brooke County, West Virginia",7.20%,"$26,335 ",12.70%,132.30%,64.70%,84.20%
 54011,"Cabell County, West Virginia",5.20%,"$27,563 ",21.80%,96.30%,67.80%,144.60%
 54013,"Calhoun County, West Virginia",11.60%,"$15,139 ",15.90%,212.70%,37.20%,105.20%
 54015,"Clay County, West Virginia",10.80%,"$17,835 ",23.10%,198.30%,43.80%,153.00%
 54017,"Doddridge County, West Virginia",5.20%,"$18,870 ",15.40%,95.10%,46.40%,101.80%
 54019,"Fayette County, West Virginia",8.30%,"$18,149 ",19.10%,152.40%,44.60%,126.70%
 54021,"Gilmer County, West Virginia",7.50%,"$15,973 ",26.10%,138.00%,39.30%,172.90%
 54023,"Grant County, West Virginia",7.00%,"$21,948 ",13.10%,129.60%,54.00%,86.80%
 54025,"Greenbrier County, West Virginia",6.30%,"$22,761 ",18.40%,115.40%,56.00%,121.50%
 54027,"Hampshire County, West Virginia",5.40%,"$22,790 ",16.90%,99.00%,56.00%,112.10%
 54029,"Hancock County, West Virginia",7.60%,"$26,483 ",14.50%,139.80%,65.10%,95.70%
 54031,"Hardy County, West Virginia",7.20%,"$20,088 ",13.70%,132.00%,49.40%,90.80%
 54033,"Harrison County, West Virginia",5.80%,"$32,338 ",15.90%,107.40%,79.50%,105.10%
 54035,"Jackson County, West Virginia",6.80%,"$24,178 ",14.90%,124.70%,59.40%,98.70%
 54037,"Jefferson County, West Virginia",4.00%,"$36,977 ",10.90%,73.80%,90.90%,72.10%
 54039,"Kanawha County, West Virginia",5.80%,"$31,941 ",16.00%,106.10%,78.50%,105.80%
 54041,"Lewis County, West Virginia",7.70%,"$24,742 ",19.30%,141.00%,60.80%,128.10%
 54043,"Lincoln County, West Virginia",9.30%,"$17,379 ",25.20%,170.60%,42.70%,166.60%
 54045,"Logan County, West Virginia",10.70%,"$18,737 ",20.20%,196.00%,46.10%,133.90%
 54049,"Marion County, West Virginia",6.40%,"$28,085 ",16.70%,118.40%,69.00%,110.30%
 54051,"Marshall County, West Virginia",8.00%,"$26,331 ",14.60%,147.50%,64.70%,96.40%
 54053,"Mason County, West Virginia",8.40%,"$19,553 ",18.90%,153.70%,48.10%,124.80%
 54047,"McDowell County, West Virginia",12.70%,"$13,282 ",37.60%,233.40%,32.70%,249.10%
 54055,"Mercer County, West Virginia",7.10%,"$20,397 ",21.10%,131.60%,50.10%,139.70%
 54057,"Mineral County, West Virginia",7.10%,"$25,891 ",16.40%,130.10%,63.60%,108.40%
 54059,"Mingo County, West Virginia",12.60%,"$14,743 ",26.00%,231.10%,36.20%,172.10%
 54061,"Monongalia County, West Virginia",4.50%,"$33,803 ",22.20%,82.40%,83.10%,147.10%
 54063,"Monroe County, West Virginia",5.30%,"$18,284 ",17.10%,97.40%,44.90%,113.30%
 54065,"Morgan County, West Virginia",5.20%,"$22,771 ",11.40%,96.50%,56.00%,75.20%
 54067,"Nicholas County, West Virginia",9.00%,"$19,264 ",17.60%,165.80%,47.40%,116.60%
 54069,"Ohio County, West Virginia",5.60%,"$36,483 ",16.20%,102.50%,89.70%,107.40%
 54071,"Pendleton County, West Virginia",4.50%,"$23,203 ",18.20%,82.00%,57.00%,120.50%
 54073,"Pleasants County, West Virginia",7.90%,"$26,153 ",16.90%,145.40%,64.30%,112.10%
 54075,"Pocahontas County, West Virginia",7.80%,"$20,269 ",18.60%,143.90%,49.80%,122.90%
 54077,"Preston County, West Virginia",6.00%,"$23,858 ",15.30%,109.90%,58.70%,101.40%
 54079,"Putnam County, West Virginia",5.30%,"$33,764 ",9.80%,98.20%,83.00%,65.20%
 54081,"Raleigh County, West Virginia",7.20%,"$23,114 ",17.70%,131.80%,56.80%,117.00%
 54083,"Randolph County, West Virginia",6.70%,"$21,500 ",16.90%,123.80%,52.90%,112.10%
 54085,"Ritchie County, West Virginia",6.60%,"$21,111 ",19.40%,120.90%,51.90%,128.50%
 54087,"Roane County, West Virginia",10.60%,"$19,113 ",20.30%,194.30%,47.00%,134.10%
 54089,"Summers County, West Virginia",6.80%,"$15,025 ",18.40%,124.50%,36.90%,121.50%
 54091,"Taylor County, West Virginia",5.60%,"$25,519 ",16.60%,103.50%,62.70%,110.10%
 54093,"Tucker County, West Virginia",5.90%,"$21,847 ",13.30%,108.90%,53.70%,88.30%
 54095,"Tyler County, West Virginia",9.10%,"$22,310 ",18.70%,166.90%,54.80%,123.90%
 54097,"Upshur County, West Virginia",7.40%,"$21,597 ",17.90%,136.30%,53.10%,118.80%
 54099,"Wayne County, West Virginia",6.80%,"$21,313 ",20.90%,125.70%,52.40%,138.50%
 54101,"Webster County, West Virginia",8.20%,"$14,470 ",27.20%,150.10%,35.60%,180.20%
 54103,"Wetzel County, West Virginia",9.80%,"$21,851 ",21.10%,181.00%,53.70%,139.60%
 54105,"Wirt County, West Virginia",9.60%,"$19,525 ",15.20%,176.30%,48.00%,100.60%
 54107,"Wood County, West Virginia",6.00%,"$27,102 ",17.40%,110.10%,66.60%,114.80%
 54109,"Wyoming County, West Virginia",9.80%,"$15,743 ",20.10%,179.80%,38.70%,132.90%
